ID,CitiesVisited
682-10,NYC Only
120-03,NYC Only
389-06,NYC Only
745-13,NYC Only
581-29,NYC Only
863-28,NYC Only
222-12,NYC Only
832-24,NYC Only
385-27,NYC Only
208-22,NYC Only
892-25,NYC Only
182-09,NYC Only
184-16,NYC Only
133-23,NYC Only
287-24,NYC Only
308-09,NYC Only
516-14,NYC Only
446-03,NYC Only
295-23,NYC Only
928-31,NYC Only
969-03,NYC Only
815-10,NYC Only
999-17,NYC Only
786-15,NYC Only
760-23,NYC Only
627-31,NYC Only
447-06,NYC Only
297-05,NYC Only
352-14,NYC Only
443-01,NYC Only
579-23,NYC Only
10-27,NYC Only
1016-08,NYC Only
243-08,NYC Only
250-19,NYC Only
983-13,NYC Only
256-18,NYC Only
1010-03,NYC Only
683-08,NYC Only
593-23,NYC Only
527-27,NYC Only
567-07,NYC Only
856-29,NYC Only
173-09,NYC Only
404-22,NYC Only
970-19,NYC Only
833-31,NYC Only
331-08,NYC Only
1059-05,NYC Only
730-27,NYC Only
152-16,NYC Only
730-06,NYC Only
776-11,NYC Only
785-12,NYC Only
897-07,NYC Only
206-28,NYC Only
10-02,NYC Only
204-08,NYC Only
819-19,NYC Only
481-06,NYC Only
797-21,NYC Only
796-11,NYC Only
92-04,NYC Only
317-05,NYC Only
726-07,NYC Only
308-15,NYC Only
958-29,NYC Only
827-02,NYC Only
993-31,NYC Only
327-06,NYC Only
243-09,NYC Only
665-15,NYC Only
540-14,NYC Only
667-29,NYC Only
1044-31,NYC Only
1048-04,NYC Only
511-29,NYC Only
832-30,NYC Only
160-05,NYC Only
676-31,NYC Only
380-22,NYC Only
315-03,NYC Only
585-12,NYC Only
975-21,NYC Only
525-18,NYC Only
566-03,NYC Only
203-27,NYC Only
529-31,NYC Only
863-18,NYC Only
313-05,NYC Only
213-31,NYC Only
1011-15,NYC Only
969-18,NYC Only
894-09,NYC Only
30-30,NYC Only
593-25,NYC Only
12-14,NYC Only
355-15,NYC Only
703-27,NYC Only
467-02,NYC Only
722-19,NYC Only
706-27,NYC Only
591-23,NYC Only
280-31,NYC Only
228-03,NYC Only
292-10,NYC Only
186-07,NYC Only
885-10,NYC Only
751-17,NYC Only
120-21,NYC Only
167-21,NYC Only
745-14,NYC Only
258-19,NYC Only
140-31,NYC Only
293-17,NYC Only
210-12,NYC Only
793-06,NYC Only
330-10,NYC Only
527-29,NYC Only
781-08,NYC Only
596-23,NYC Only
916-18,NYC Only
269-17,NYC Only
363-06,NYC Only
224-14,NYC Only
144-05,NYC Only
588-22,NYC Only
251-16,NYC Only
65-31,NYC Only
452-03,NYC Only
158-01,NYC Only
532-11,NYC Only
323-12,NYC Only
859-06,NYC Only
314-24,NYC Only
755-07,NYC Only
18-04,NYC Only
164-28,NYC Only
856-31,NYC Only
616-10,NYC Only
376-19,NYC Only
315-24,NYC Only
265-29,NYC Only
304-04,NYC Only
249-31,NYC Only
11-31,NYC Only
424-11,NYC Only
979-16,NYC Only
852-19,NYC Only
826-31,NYC Only
417-06,NYC Only
526-22,NYC Only
145-19,NYC Only
927-04,NYC Only
658-08,NYC Only
364-06,NYC Only
462-15,NYC Only
42-23,NYC Only
313-28,NYC Only
805-15,NYC Only
529-25,NYC Only
928-21,NYC Only
745-27,NYC Only
918-08,NYC Only
550-13,NYC Only
524-14,NYC Only
716-28,NYC Only
905-16,NYC Only
213-10,NYC Only
274-31,NYC Only
10-04,NYC Only
833-21,NYC Only
702-15,NYC Only
79-15,NYC Only
720-18,NYC Only
201-15,NYC Only
706-19,NYC Only
548-01,NYC Only
344-31,NYC Only
969-17,NYC Only
483-18,NYC Only
140-11,NYC Only
524-13,NYC Only
313-03,NYC Only
330-28,NYC Only
376-31,NYC Only
33-22,NYC Only
35-13,NYC Only
67-04,NYC Only
741-03,NYC Only
495-01,NYC Only
272-08,NYC Only
837-08,NYC Only
845-31,NYC Only
516-04,NYC Only
112-13,NYC Only
1047-01,NYC Only
832-11,NYC Only
176-02,NYC Only
666-08,NYC Only
654-19,NYC Only
199-17,NYC Only
614-27,NYC Only
839-24,NYC Only
240-10,NYC Only
474-15,NYC Only
56-04,NYC Only
946-08,NYC Only
251-21,NYC Only
715-01,NYC Only
498-24,NYC Only
590-06,NYC Only
516-07,NYC Only
1076-04,NYC Only
180-10,NYC Only
942-21,NYC Only
3-27,NYC Only
651-31,NYC Only
3-25,NYC Only
1066-16,NYC Only
582-22,NYC Only
835-25,NYC Only
258-13,NYC Only
878-05,NYC Only
642-25,NYC Only
803-26,NYC Only
585-10,NYC Only
818-26,NYC Only
514-06,NYC Only
396-03,NYC Only
516-22,NYC Only
788-09,NYC Only
853-07,NYC Only
798-11,NYC Only
877-23,NYC Only
149-18,NYC Only
1054-06,NYC Only
185-10,NYC Only
1059-31,NYC Only
649-19,NYC Only
518-23,NYC Only
648-21,NYC Only
182-29,NYC Only
311-06,NYC Only
816-06,NYC Only
832-23,NYC Only
982-15,NYC Only
646-31,NYC Only
859-22,NYC Only
722-11,NYC Only
474-02,NYC Only
114-03,NYC Only
179-08,NYC Only
383-21,NYC Only
880-16,NYC Only
132-19,NYC Only
228-17,NYC Only
10-03,NYC Only
853-27,NYC Only
1049-26,NYC Only
575-25,NYC Only
238-19,NYC Only
481-11,NYC Only
755-09,NYC Only
462-06,NYC Only
387-04,NYC Only
252-03,NYC Only
191-30,NYC Only
100-01,NYC Only
842-01,NYC Only
956-13,NYC Only
839-07,NYC Only
773-11,NYC Only
1057-25,NYC Only
497-28,NYC Only
70-19,NYC Only
248-31,NYC Only
663-09,NYC Only
549-03,NYC Only
691-11,NYC Only
839-19,NYC Only
578-07,NYC Only
1034-13,NYC Only
658-16,NYC Only
55-12,NYC Only
286-06,NYC Only
871-09,NYC Only
777-15,NYC Only
1052-27,NYC Only
419-05,NYC Only
881-25,NYC Only
360-23,NYC Only
80-11,NYC Only
69-23,NYC Only
40-13,NYC Only
455-17,NYC Only
286-15,NYC Only
306-08,NYC Only
440-16,NYC Only
686-18,NYC Only
357-31,NYC Only
76-30,NYC Only
527-22,NYC Only
448-06,NYC Only
1048-06,NYC Only
335-03,NYC Only
621-08,NYC Only
489-08,NYC Only
826-10,NYC Only
414-06,NYC Only
322-26,NYC Only
178-02,NYC Only
515-06,NYC Only
100-27,NYC Only
10-14,NYC Only
748-11,NYC Only
1040-21,NYC Only
1023-28,NYC Only
293-07,NYC Only
125-19,NYC Only
298-29,NYC Only
501-05,NYC Only
272-12,NYC Only
249-19,NYC Only
101-10,NYC Only
916-06,NYC Only
117-07,NYC Only
856-01,NYC Only
1028-05,NYC Only
907-14,NYC Only
1054-25,NYC Only
172-08,NYC Only
880-26,NYC Only
905-27,NYC Only
577-21,NYC Only
797-10,NYC Only
30-25,NYC Only
174-31,NYC Only
781-01,NYC Only
400-07,NYC Only
889-08,NYC Only
47-30,NYC Only
497-03,NYC Only
844-26,NYC Only
442-04,NYC Only
540-21,NYC Only
331-07,NYC Only
204-23,NYC Only
626-08,NYC Only
880-13,NYC Only
642-04,NYC Only
651-07,NYC Only
778-22,NYC Only
293-15,NYC Only
895-17,NYC Only
649-02,NYC Only
965-06,NYC Only
480-12,NYC Only
31-10,NYC Only
766-08,NYC Only
483-01,NYC Only
1011-25,NYC Only
656-21,NYC Only
717-06,NYC Only
531-02,NYC Only
984-16,NYC Only
407-04,NYC Only
865-21,NYC Only
69-02,NYC Only
787-14,NYC Only
230-14,NYC Only
1042-31,NYC Only
134-25,NYC Only
38-04,NYC Only
304-31,NYC Only
398-24,NYC Only
69-06,NYC Only
725-04,NYC Only
524-03,NYC Only
2-18,NYC Only
537-07,NYC Only
59-06,NYC Only
466-16,NYC Only
702-12,NYC Only
62-29,NYC Only
532-04,NYC Only
303-29,NYC Only
267-28,NYC Only
340-05,NYC Only
166-04,NYC Only
129-16,NYC Only
830-16,NYC Only
372-31,NYC Only
292-02,NYC Only
332-25,NYC Only
907-28,NYC Only
611-29,NYC Only
638-02,NYC Only
167-01,NYC Only
983-19,NYC Only
381-16,NYC Only
825-28,NYC Only
976-29,NYC Only
799-14,NYC Only
845-08,NYC Only
386-05,NYC Only
412-26,NYC Only
148-10,NYC Only
473-14,NYC Only
654-31,NYC Only
947-13,NYC Only
175-10,NYC Only
461-15,NYC Only
211-31,NYC Only
673-14,NYC Only
718-02,NYC Only
1006-15,NYC Only
735-19,NYC Only
784-23,NYC Only
1053-16,NYC Only
1030-31,NYC Only
614-13,NYC Only
15-13,NYC Only
53-16,NYC Only
108-16,NYC Only
585-19,NYC Only
489-21,NYC Only
1078-21,NYC Only
484-08,NYC Only
813-17,NYC Only
49-29,NYC Only
984-25,NYC Only
125-03,NYC Only
706-21,NYC Only
996-05,NYC Only
1038-05,NYC Only
946-29,NYC Only
872-29,NYC Only
635-11,NYC Only
307-21,NYC Only
342-01,NYC Only
1054-03,NYC Only
946-15,NYC Only
569-14,NYC Only
744-30,NYC Only
501-14,NYC Only
180-16,NYC Only
979-15,NYC Only
627-01,NYC Only
935-23,NYC Only
307-06,NYC Only
79-14,NYC Only
372-10,NYC Only
386-03,NYC Only
465-19,NYC Only
531-05,NYC Only
727-05,NYC Only
599-03,NYC Only
1021-06,NYC Only
704-27,NYC Only
581-18,NYC Only
616-22,NYC Only
226-17,NYC Only
501-25,NYC Only
846-29,NYC Only
72-14,NYC Only
468-15,NYC Only
359-11,NYC Only
668-25,NYC Only
399-17,NYC Only
167-19,NYC Only
57-16,NYC Only
377-14,NYC Only
815-22,NYC Only
363-11,NYC Only
1013-12,NYC Only
260-12,NYC Only
431-21,NYC Only
755-14,NYC Only
471-21,NYC Only
410-11,NYC Only
362-12,NYC Only
1066-13,NYC Only
489-06,NYC Only
1025-03,NYC Only
525-04,NYC Only
126-29,NYC Only
518-15,NYC Only
679-10,NYC Only
696-04,NYC Only
593-01,NYC Only
200-29,NYC Only
1000-09,NYC Only
308-08,NYC Only
290-15,NYC Only
784-16,NYC Only
518-18,NYC Only
249-23,NYC Only
1009-16,NYC Only
1023-22,NYC Only
266-08,NYC Only
846-08,NYC Only
786-29,NYC Only
1051-21,NYC Only
200-18,NYC Only
372-24,NYC Only
863-13,NYC Only
723-07,NYC Only
834-10,NYC Only
443-26,NYC Only
132-02,NYC Only
485-12,NYC Only
906-16,NYC Only
692-24,NYC Only
34-17,NYC Only
856-07,NYC Only
597-16,NYC Only
576-15,NYC Only
136-06,NYC Only
758-13,NYC Only
751-16,NYC Only
907-29,NYC Only
398-14,NYC Only
531-21,NYC Only
144-27,NYC Only
108-01,NYC Only
500-22,NYC Only
571-05,NYC Only
59-12,NYC Only
185-16,NYC Only
905-05,NYC Only
949-10,NYC Only
585-18,NYC Only
520-17,NYC Only
582-31,NYC Only
902-25,NYC Only
35-18,NYC Only
626-31,NYC Only
923-21,NYC Only
144-23,NYC Only
953-29,NYC Only
662-29,NYC Only
132-15,NYC Only
256-14,NYC Only
1080-06,NYC Only
1000-15,NYC Only
548-25,NYC Only
52-27,NYC Only
191-27,NYC Only
933-17,NYC Only
158-26,NYC Only
137-28,NYC Only
371-04,NYC Only
202-07,NYC Only
868-21,NYC Only
613-19,NYC Only
545-25,NYC Only
977-26,NYC Only
598-10,NYC Only
348-07,NYC Only
689-11,NYC Only
421-13,NYC Only
1072-06,NYC Only
123-16,NYC Only
376-11,NYC Only
818-05,NYC Only
255-04,NYC Only
308-21,NYC Only
617-31,NYC Only
529-27,NYC Only
124-04,NYC Only
736-08,NYC Only
1024-18,NYC Only
625-05,NYC Only
608-01,NYC Only
783-01,NYC Only
419-03,NYC Only
571-07,NYC Only
878-03,NYC Only
628-13,NYC Only
722-22,NYC Only
435-01,NYC Only
388-04,NYC Only
130-05,NYC Only
1049-25,NYC Only
509-23,NYC Only
276-16,NYC Only
923-30,NYC Only
458-28,NYC Only
1020-10,NYC Only
952-23,NYC Only
139-17,NYC Only
970-11,NYC Only
871-05,NYC Only
751-21,NYC Only
723-06,NYC Only
428-28,NYC Only
527-05,NYC Only
647-23,NYC Only
491-26,NYC Only
669-09,NYC Only
413-19,NYC Only
716-05,NYC Only
388-17,NYC Only
612-21,NYC Only
163-15,NYC Only
527-26,NYC Only
247-10,NYC Only
283-11,NYC Only
865-04,NYC Only
85-31,NYC Only
230-07,NYC Only
772-17,NYC Only
513-12,NYC Only
511-18,NYC Only
139-10,NYC Only
695-23,NYC Only
872-13,NYC Only
38-21,NYC Only
276-07,NYC Only
399-04,NYC Only
922-04,NYC Only
155-10,NYC Only
465-11,NYC Only
372-22,NYC Only
518-03,NYC Only
419-15,NYC Only
7-10,NYC Only
272-19,NYC Only
1034-04,NYC Only
830-07,NYC Only
332-06,NYC Only
529-13,NYC Only
612-22,NYC Only
839-29,NYC Only
642-07,NYC Only
470-03,NYC Only
120-25,NYC Only
576-13,NYC Only
459-27,NYC Only
141-16,NYC Only
642-01,NYC Only
1009-13,NYC Only
749-28,NYC Only
388-07,NYC Only
244-03,NYC Only
473-10,NYC Only
1018-12,NYC Only
712-28,NYC Only
994-15,NYC Only
462-16,NYC Only
725-25,NYC Only
534-16,NYC Only
871-17,NYC Only
725-01,NYC Only
83-09,NYC Only
656-19,NYC Only
678-25,NYC Only
320-25,NYC Only
406-22,NYC Only
544-12,NYC Only
304-12,NYC Only
300-10,NYC Only
376-12,NYC Only
748-31,NYC Only
184-30,NYC Only
452-10,NYC Only
231-18,NYC Only
1003-08,NYC Only
247-18,NYC Only
636-31,NYC Only
622-15,NYC Only
431-19,NYC Only
2-04,NYC Only
201-05,NYC Only
745-16,NYC Only
80-04,NYC Only
927-18,NYC Only
169-15,NYC Only
536-05,NYC Only
217-09,NYC Only
1003-28,NYC Only
766-05,NYC Only
826-16,NYC Only
354-21,NYC Only
93-12,NYC Only
835-23,NYC Only
40-12,NYC Only
588-12,NYC Only
363-16,NYC Only
417-30,NYC Only
414-22,NYC Only
297-09,NYC Only
189-03,NYC Only
581-14,NYC Only
128-18,NYC Only
536-29,NYC Only
191-13,NYC Only
105-29,NYC Only
566-17,NYC Only
172-05,NYC Only
883-07,NYC Only
694-07,NYC Only
308-03,NYC Only
153-12,NYC Only
47-19,NYC Only
858-12,NYC Only
120-04,NYC Only
